,State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Literacy_rate
131,Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,5262,0.6500622377849854
132,Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,55694,0.7517131965714033
133,Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,2975,0.6226988136207002
134,Gujarat,The Dangs,20.801633877551023,73.68835183673471,489,228291,137,0.6174925862167147
135,Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,53606,0.6945126614823318
136,Gujarat,Valsad,20.44238231644259,72.91485847983449,491,1705678,11020,0.6863294244282918
137,Haryana,Ambala,30.350367231638398,76.94970310734456,70,1128350,12899,0.7249745203172775
138,Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,5292,0.6545775477302693
139,Haryana,Faridabad,28.148731097560983,77.3271853658537,88,1809733,43437,0.7032744609287669
140,Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,3210,0.5919017930788494
141,Haryana,Gurgaon,28.043894789579163,77.01935130260524,86,1514432,67087,0.7336849723196551
142,Haryana,Hisar,29.236287311178252,75.84324682779452,80,1743931,10132,0.6389650737328484
143,Haryana,Jhajjar,28.596518681318692,76.61137142857146,83,958405,5034,0.705433506711672
144,Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,5263,0.6241852502563426
145,Haryana,Kaithal,29.960685390946487,76.37698930041155,73,1074304,3724,0.6018119638389133
146,Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,11163,0.6497026553751883
147,Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,7356,0.6705951868802836
148,Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,2624,0.6835085154562255
149,Haryana,Panchkula,30.700897142857126,76.97173238095236,69,561293,18615,0.722114831291322
150,Haryana,Panipat,29.343521341463422,76.92895914634147,75,1205437,10024,0.6525426048810514
151,Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,5121,0.7074579155244954
152,Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,8482,0.7044658708410447
153,Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,6287,0.6044654486719698
154,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,1615,0.623876859058334
155,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,2521,0.7874146817718045
156,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,1196,0.5916036168199332
